Year,Date,Opponent,Comp,Case,Attended,Shade,Border,Footer,Notes,Team BG,Team Font,Opp BG,Opp Font
2017,6/14/17,Charleston Battery,U.S. Open Cup Fourth Round,,,,,,,,,,
2017,6/28/17,Miami FC,U.S. Open Cup Fifth Round,,,,,,,,,,
2017,10/26/17,Columbus Crew,MLS Cup Playoffs Knockout - Eastern Conf,,,,,,,,,,
2018,6/6/18,Charleston Battery,U.S. Open Cup Fourth Round,,,,,,,,,,
2018,6/20/18,Chicago Fire FC,U.S. Open Cup Fifth Round,,,,,,,,,,
2018,11/4/18,New York City FC,MLS Cup Playoffs Semifinals - Eastern Conf,,,,,,,,,,
2018,11/11/18,New York City FC,MLS Cup Playoffs Semifinals - Eastern Conf,,,,,,,,,,
2018,11/25/18,Red Bull New York,MLS Cup Playoffs Finals - Eastern Conf,,,,,,,,,,
2018,11/29/18,Red Bull New York,MLS Cup Playoffs Finals - Eastern Conf,,,,,,,,,,
2018,12/8/18,Portland Timbers,MLS Cup Playoffs Final,,,,,,,,,,
2019,2/21/19,Herediano,Champions Cup Round of 16,,,,,,,,,,
2019,2/28/19,Herediano,Champions Cup Round of 16,,,,,,,,,,
2019,3/6/19,Monterrey,Champions Cup Quarterfinals,,,,,,,,,,
2019,3/13/19,Monterrey,Champions Cup Quarterfinals,,,,,,,,,,
2019,6/13/19,Charleston Battery,U.S. Open Cup Fourth Round,,,,,,,,,,
2019,6/18/19,Columbus Crew,U.S. Open Cup Round of 16,,,,,,,,,,
2019,7/10/19,Saint Louis FC,U.S. Open Cup Quarterfinals,,,,,,,,,,
2019,8/6/19,Orlando City SC,U.S. Open Cup Semifinals,,,,,,,,,,
2019,8/14/19,América,Campeones Cup Campeones Cup,,,,,,,,,,
2019,8/27/19,Minnesota United FC,U.S. Open Cup Final,,,,,,,,,,
2019,10/19/19,New England Revolution,MLS Cup Playoffs Eastern Conference Playoffs - First Round,,,,,,,,,,
2019,10/24/19,Philadelphia Union,MLS Cup Playoffs Eastern Conference Playoffs - Semifinals,,,,,,,,,,
2019,10/30/19,Toronto FC,MLS Cup Playoffs Eastern Conference Playoffs - Finals,,,,,,,,,,
2020,2/18/20,FC Motagua,Champions Cup Round of 16,,,,,,,,,,
2020,2/25/20,FC Motagua,Champions Cup Round of 16,,,,,,,,,,
2020,3/11/20,América,Champions Cup Quarterfinals,,,,,,,,,,
2020,12/16/20,América,Champions Cup Quarterfinals,,,,,,,,,,
2021,4/6/21,Alajuelense,Champions Cup Round of 16,,,,,,,,,,
2021,4/13/21,Alajuelense,Champions Cup Round of 16,,,,,,,,,,
2021,4/27/21,Philadelphia Union,Champions Cup Quarterfinals,,,,,,,,,,
2021,5/4/21,Philadelphia Union,Champions Cup Quarterfinals,,,,,,,,,,
2021,11/21/21,New York City FC,MLS Cup Playoffs Eastern Conference Playoffs - First Round,,,,,,,,,,
2022,4/20/22,Chattanooga FC,U.S. Open Cup Third Round,,,,,,,,,,
2022,5/11/22,Nashville SC,U.S. Open Cup Round of 32,,,,,,,,,,
2023,4/26/23,Memphis 901 FC,U.S. Open Cup Third Round,,,,,,,,,,
2023,7/25/23,Inter Miami CF,Leagues Cup Group Stage,,,,,,,,,,
2023,7/29/23,Cruz Azul,Leagues Cup Group Stage,,,,,,,,,,
2023,11/1/23,Columbus Crew,MLS Cup Playoffs Eastern Conference Playoffs - Round One,,,,,,,,,,
2023,11/7/23,Columbus Crew,MLS Cup Playoffs Eastern Conference Playoffs - Round One,,,,,,,,,,
2023,11/12/23,Columbus Crew,MLS Cup Playoffs Eastern Conference Playoffs - Round One,,,,,,,,,,
2024,5/7/24,Charlotte Independence,U.S. Open Cup Round of 32,,,,,,,,,,
2024,5/21/24,Charleston Battery,U.S. Open Cup Round of 16,,,,,,,,,,
2024,7/9/24,Indy Eleven,U.S. Open Cup Quarterfinals,,,,,,,,,,
2024,7/26/24,D.C. United,Leagues Cup Group Stage,,,,,,,,,,
2024,8/4/24,Santos,Leagues Cup Group Stage,,,,,,,,,,
2024,10/22/24,CF Montréal,MLS Cup Playoffs Eastern Conference Playoffs - Wild Card,,,,,,,,,,
2024,10/25/24,Inter Miami CF,MLS Cup Playoffs Eastern Conference Playoffs - Round One,,,,,,,,,,
2024,11/2/24,Inter Miami CF,MLS Cup Playoffs Eastern Conference Playoffs - Round One,,,,,,,,,,
2024,11/9/24,Inter Miami CF,MLS Cup Playoffs Eastern Conference Playoffs - Round One,,,,,,,,,,
2024,11/24/24,Orlando City SC,MLS Cup Playoffs Eastern Conference Playoffs - Semifinals,,,,,,,,,,
2025,7/30/25,Necaxa,Leagues Cup League Phase,,,,,,,,,,
2025,8/2/25,Pumas UNAM,Leagues Cup League Phase,,,,,,,,,,
2025,8/6/25,Atlas,Leagues Cup League Phase,,,,,,,,,,
2026,4/15/26,Chattanooga FC,U.S. Open Cup Round of 32,,,,,,,,,,
2026,4/28/26,Charlotte FC,U.S. Open Cup Round of 16,,,,,,,,,,
2026,5/19/26,Orlando City SC,U.S. Open Cup Quarterfinals,,,,,,,,,,
