Year,Date,Opponent,Comp,Kit,Case,Attended,Shade,Border,Footer,Notes,Team BG,Team Font,Opp BG,Opp Font
2013-14,8/18/13,Crystal Palace,Premier League MW 1,,,,,,,,,,,
2013-14,8/22/13,Dinamo Tbilisi,Europa League Playoff Round,,,,,,,,,,,
2013-14,8/25/13,Swansea City,Premier League MW 2,,,,,,,,,,,
2013-14,8/29/13,Dinamo Tbilisi,Europa League Playoff Round,,,,,,,,,,,
2013-14,9/1/13,Arsenal,Premier League MW 3,,,,,,,,,,,
2013-14,9/14/13,Norwich City,Premier League MW 4,,,,,,,,,,,
2013-14,9/19/13,Tromsø,Europa League Group Stage,,,,,,,,,,,
2013-14,9/22/13,Cardiff City,Premier League MW 5,,,,,,,,,,,
2013-14,9/24/13,Aston Villa,League Cup Third Round,,,,,,,,,,,
2013-14,9/28/13,Chelsea,Premier League MW 6,,,,,,,,,,,
2013-14,10/3/13,Anzhi,Europa League Group Stage,,,,,,,,,,,
2013-14,10/6/13,West Ham United,Premier League MW 7,,,,,,,,,,,
2013-14,10/20/13,Aston Villa,Premier League MW 8,,,,,,,,,,,
2013-14,10/24/13,Sheriff Tiraspol,Europa League Group Stage,,,,,,,,,,,
2013-14,10/27/13,Hull City,Premier League MW 9,,,,,,,,,,,
2013-14,10/30/13,Hull City,League Cup Fourth Round,,,,,,,,,,,
2013-14,11/3/13,Everton,Premier League MW 10,,,,,,,,,,,
2013-14,11/7/13,Sheriff Tiraspol,Europa League Group Stage,,,,,,,,,,,
2013-14,11/10/13,Newcastle United,Premier League MW 11,,,,,,,,,,,
2013-14,11/24/13,Man City,Premier League MW 12,,,,,,,,,,,
2013-14,11/28/13,Tromsø,Europa League Group Stage,,,,,,,,,,,
2013-14,12/1/13,Man United,Premier League MW 13,,,,,,,,,,,
2013-14,12/4/13,Fulham,Premier League MW 14,,,,,,,,,,,
2013-14,12/7/13,Sunderland,Premier League MW 15,,,,,,,,,,,
2013-14,12/12/13,Anzhi,Europa League Group Stage,,,,,,,,,,,
2013-14,12/15/13,Liverpool,Premier League MW 16,,,,,,,,,,,
2013-14,12/18/13,West Ham United,League Cup Quarterfinals,,,,,,,,,,,
2013-14,12/22/13,Southampton,Premier League MW 17,,,,,,,,,,,
2013-14,12/26/13,West Brom,Premier League MW 18,,,,,,,,,,,
2013-14,12/29/13,Stoke City,Premier League MW 19,,,,,,,,,,,
2013-14,1/1/14,Man United,Premier League MW 20,,,,,,,,,,,
2013-14,1/4/14,Arsenal,FA Cup Third Round,,,,,,,,,,,
2013-14,1/11/14,Crystal Palace,Premier League MW 21,,,,,,,,,,,
2013-14,1/19/14,Swansea City,Premier League MW 22,,,,,,,,,,,
2013-14,1/29/14,Man City,Premier League MW 23,,,,,,,,,,,
2013-14,2/1/14,Hull City,Premier League MW 24,,,,,,,,,,,
2013-14,2/9/14,Everton,Premier League MW 25,,,,,,,,,,,
2013-14,2/12/14,Newcastle United,Premier League MW 26,,,,,,,,,,,
2013-14,2/20/14,Dnipro,Europa League Round of 32,,,,,,,,,,,
2013-14,2/23/14,Norwich City,Premier League MW 27,,,,,,,,,,,
2013-14,2/27/14,Dnipro,Europa League Round of 32,,,,,,,,,,,
2013-14,3/2/14,Cardiff City,Premier League MW 28,,,,,,,,,,,
2013-14,3/8/14,Chelsea,Premier League MW 29,,,,,,,,,,,
2013-14,3/13/14,Benfica,Europa League Round of 16,,,,,,,,,,,
2013-14,3/16/14,Arsenal,Premier League MW 30,,,,,,,,,,,
2013-14,3/20/14,Benfica,Europa League Round of 16,,,,,,,,,,,
2013-14,3/23/14,Southampton,Premier League MW 31,,,,,,,,,,,
2013-14,3/30/14,Liverpool,Premier League MW 32,,,,,,,,,,,
2013-14,4/7/14,Sunderland,Premier League MW 33,,,,,,,,,,,
2013-14,4/12/14,West Brom,Premier League MW 34,,,,,,,,,,,
2013-14,4/19/14,Fulham,Premier League MW 35,,,,,,,,,,,
2013-14,4/26/14,Stoke City,Premier League MW 36,,,,,,,,,,,
2013-14,5/3/14,West Ham United,Premier League MW 37,,,,,,,,,,,
2013-14,5/11/14,Aston Villa,Premier League MW 38,,,,,,,,,,,
2014-15,8/16/14,West Ham United,Premier League MW 1,,,,,,,,,,,
2014-15,8/21/14,AEL Limassol,Europa League Playoff Round,,,,,,,,,,,
2014-15,8/24/14,QPR,Premier League MW 2,,,,,,,,,,,
2014-15,8/28/14,AEL Limassol,Europa League Playoff Round,,,,,,,,,,,
2014-15,8/31/14,Liverpool,Premier League MW 3,,,,,,,,,,,
2014-15,9/13/14,Sunderland,Premier League MW 4,,,,,,,,,,,
2014-15,9/18/14,Partizan,Europa League Group Stage,,,,,,,,,,,
2014-15,9/21/14,West Brom,Premier League MW 5,,,,,,,,,,,
2014-15,9/24/14,Nottingham Forest,League Cup Third Round,,,,,,,,,,,
2014-15,9/27/14,Arsenal,Premier League MW 6,,,,,,,,,,,
2014-15,10/2/14,Besiktas,Europa League Group Stage,,,,,,,,,,,
2014-15,10/5/14,Southampton,Premier League MW 7,,,,,,,,,,,
2014-15,10/18/14,Man City,Premier League MW 8,,,,,,,,,,,
2014-15,10/23/14,Asteras Tripoli,Europa League Group Stage,,,,,,,,,,,
2014-15,10/26/14,Newcastle United,Premier League MW 9,,,,,,,,,,,
2014-15,10/29/14,Brighton,League Cup Fourth Round,,,,,,,,,,,
2014-15,11/2/14,Aston Villa,Premier League MW 10,,,,,,,,,,,
2014-15,11/6/14,Asteras Tripoli,Europa League Group Stage,,,,,,,,,,,
2014-15,11/9/14,Stoke City,Premier League MW 11,,,,,,,,,,,
2014-15,11/23/14,Hull City,Premier League MW 12,,,,,,,,,,,
2014-15,11/27/14,Partizan,Europa League Group Stage,,,,,,,,,,,
2014-15,11/30/14,Everton,Premier League MW 13,,,,,,,,,,,
2014-15,12/3/14,Chelsea,Premier League MW 14,,,,,,,,,,,
2014-15,12/6/14,Crystal Palace,Premier League MW 15,,,,,,,,,,,
2014-15,12/11/14,Besiktas,Europa League Group Stage,,,,,,,,,,,
2014-15,12/14/14,Swansea City,Premier League MW 16,,,,,,,,,,,
2014-15,12/17/14,Newcastle United,League Cup Quarterfinals,,,,,,,,,,,
2014-15,12/20/14,Burnley,Premier League MW 17,,,,,,,,,,,
2014-15,12/26/14,Leicester City,Premier League MW 18,,,,,,,,,,,
2014-15,12/28/14,Man United,Premier League MW 19,,,,,,,,,,,
2014-15,1/1/15,Chelsea,Premier League MW 20,,,,,,,,,,,
2014-15,1/5/15,Burnley,FA Cup Third Round,,,,,,,,,,,
2014-15,1/10/15,Crystal Palace,Premier League MW 21,,,,,,,,,,,
2014-15,1/14/15,Burnley,FA Cup Third Round Replay,,,,,,,,,,,
2014-15,1/17/15,Sunderland,Premier League MW 22,,,,,,,,,,,
2014-15,1/21/15,Sheffield United,League Cup Semifinals,,,,,,,,,,,
2014-15,1/24/15,Leicester City,FA Cup Fourth Round,,,,,,,,,,,
2014-15,1/28/15,Sheffield United,League Cup Semifinals,,,,,,,,,,,
