Year,Date,Opponent,Comp,Kit,Case,Attended,Shade,Border,Footer,Notes,Team BG,Team Font,Opp BG,Opp Font
2010,6/12/10,England,World Cup Group Stage,,,,,,,,,,,
2010,6/18/10,Slovenia,World Cup Group Stage,,,,,,,,,,,
2010,6/23/10,Algeria,World Cup Group Stage,,,,,,,,,,,
2010,6/26/10,Ghana,World Cup Second Round,,,,,,,,,,,
2011,6/7/11,Canada,Gold Cup Group Stage,,,,,,,,,,,
2011,6/11/11,Panama,Gold Cup Group Stage,,,,,,,,,,,
2011,6/14/11,Guadeloupe,Gold Cup Group Stage,,,,,,,,,,,
2011,6/19/11,Jamaica,Gold Cup Quarter-finals,,,,,,,,,,,
2011,6/22/11,Panama,Gold Cup Semi-finals,,,,,,,,,,,
2011,6/25/11,Mexico,Gold Cup Final,,,,,,,,,,,
2012,6/8/12,Antigua and Barbuda,World Cup Qualifying Third Round,,,,,,,,,,,
2012,6/12/12,Guatemala,World Cup Qualifying Third Round,,,,,,,,,,,
2012,9/7/12,Jamaica,World Cup Qualifying Third Round,,,,,,,,,,,
2012,9/11/12,Jamaica,World Cup Qualifying Third Round,,,,,,,,,,,
2012,10/12/12,Antigua and Barbuda,World Cup Qualifying Third Round,,,,,,,,,,,
2012,10/16/12,Guatemala,World Cup Qualifying Third Round,,,,,,,,,,,
2013,2/6/13,Honduras,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,3/22/13,Costa Rica,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,3/26/13,Mexico,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,6/7/13,Jamaica,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,6/11/13,Panama,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,6/18/13,Honduras,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,7/9/13,Belize,Gold Cup Group Stage,,,,,,,,,,,
2013,7/13/13,Cuba,Gold Cup Group Stage,,,,,,,,,,,
2013,7/16/13,Costa Rica,Gold Cup Group Stage,,,,,,,,,,,
2013,7/21/13,El Salvador,Gold Cup Quarter-finals,,,,,,,,,,,
2013,7/24/13,Honduras,Gold Cup Semi-finals,,,,,,,,,,,
2013,7/28/13,Panama,Gold Cup Final,,,,,,,,,,,
2013,9/6/13,Costa Rica,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,9/10/13,Mexico,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,10/11/13,Jamaica,World Cup Qualifying Fourth Round,,,,,,,,,,,
2013,10/15/13,Panama,World Cup Qualifying Fourth Round,,,,,,,,,,,
2014,6/16/14,Ghana,World Cup Group Stage,,,,,,,,,,,
2014,6/22/14,Portugal,World Cup Group Stage,,,,,,,,,,,
2014,6/26/14,Germany,World Cup Group Stage,,,,,,,,,,,
2014,7/1/14,Belgium,World Cup Round of 16,,,,,,,,,,,
2015,7/7/15,Honduras,Gold Cup Group Stage,,,,,,,,,,,
2015,7/10/15,Haiti,Gold Cup Group Stage,,,,,,,,,,,
2015,7/13/15,Panama,Gold Cup Group Stage,,,,,,,,,,,
2015,7/18/15,Cuba,Gold Cup Quarter-finals,,,,,,,,,,,
2015,7/22/15,Jamaica,Gold Cup Semi-finals,,,,,,,,,,,
2015,7/25/15,Panama,Gold Cup Third Place Game,,,,,,,,,,,
2015,10/10/15,Mexico,CONCACAF Cup,,,,,,,,,,,
2015,11/13/15,St. Vincent and the Grenadines,World Cup Qualifying Fourth Round,,,,,,,,,,,
2015,11/17/15,Trinidad and Tobago,World Cup Qualifying Fourth Round,,,,,,,,,,,
2016,3/25/16,Guatemala,World Cup Qualifying Fourth Round,,,,,,,,,,,
2016,3/29/16,Guatemala,World Cup Qualifying Fourth Round,,,,,,,,,,,
2016,6/3/16,Colombia,Copa América Group Stage,,,,,,,,,,,
2016,6/7/16,Costa Rica,Copa América Group Stage,,,,,,,,,,,
2016,6/11/16,Paraguay,Copa América Group Stage,,,,,,,,,,,
2016,6/16/16,Ecuador,Copa América Quarterfinals,,,,,,,,,,,
2016,6/21/16,Argentina,Copa América Semifinals,,,,,,,,,,,
2016,6/25/16,Colombia,Copa América 3rd-Place,,,,,,,,,,,
2016,9/2/16,St. Vincent and the Grenadines,World Cup Qualifying Fourth Round,,,,,,,,,,,
2016,9/6/16,Trinidad and Tobago,World Cup Qualifying Fourth Round,,,,,,,,,,,
2016,11/11/16,Mexico,World Cup Qualifying Hexagonal,,,,,,,,,,,
2016,11/15/16,Costa Rica,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,3/24/17,Honduras,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,3/28/17,Panama,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,6/8/17,Trinidad and Tobago,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,6/11/17,Mexico,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,7/8/17,Panama,Gold Cup Group Stage,,,,,,,,,,,
2017,7/12/17,Martinique,Gold Cup Group Stage,,,,,,,,,,,
2017,7/15/17,Nicaragua,Gold Cup Group Stage,,,,,,,,,,,
2017,7/19/17,El Salvador,Gold Cup Quarterfinals,,,,,,,,,,,
2017,7/22/17,Costa Rica,Gold Cup Semifinals,,,,,,,,,,,
2017,7/26/17,Jamaica,Gold Cup Final,,,,,,,,,,,
2017,9/1/17,Costa Rica,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,9/5/17,Honduras,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,10/6/17,Panama,World Cup Qualifying Hexagonal,,,,,,,,,,,
2017,10/10/17,Trinidad and Tobago,World Cup Qualifying Hexagonal,,,,,,,,,,,
2019,6/18/19,Guyana,Gold Cup Group Stage,,,,,,,,,,,
2019,6/22/19,Trinidad and Tobago,Gold Cup Group Stage,,,,,,,,,,,
2019,6/26/19,Panama,Gold Cup Group Stage,,,,,,,,,,,
2019,6/30/19,Curaçao,Gold Cup Quarterfinals,,,,,,,,,,,
2019,7/3/19,Jamaica,Gold Cup Semifinals,,,,,,,,,,,
2019,7/7/19,Mexico,Gold Cup Final,,,,,,,,,,,
2019,10/11/19,Cuba,Nations League League A,,,,,,,,,,,
2019,10/15/19,Canada,Nations League League A,,,,,,,,,,,
2019,11/15/19,Canada,Nations League League A,,,,,,,,,,,
2019,11/19/19,Cuba,Nations League League A,,,,,,,,,,,
2021,6/3/21,Honduras,Nations League Semifinals,,,,,,,,,,,
2021,6/6/21,Mexico,Nations League Final,,,,,,,,,,,
2021,7/11/21,Haiti,Gold Cup Group Stage,,,,,,,,,,,
2021,7/15/21,Martinique,Gold Cup Group Stage,,,,,,,,,,,
2021,7/18/21,Canada,Gold Cup Group Stage,,,,,,,,,,,
2021,7/25/21,Jamaica,Gold Cup Quarterfinals,,,,,,,,,,,
2021,7/29/21,Qatar,Gold Cup Semifinals,,,,,,,,,,,
2021,8/1/21,Mexico,Gold Cup Final,,,,,,,,,,,
2021,9/2/21,El Salvador,World Cup Qualifying Third Round,,,,,,,,,,,
2021,9/5/21,Canada,World Cup Qualifying Third Round,,,,,,,,,,,
2021,9/8/21,Honduras,World Cup Qualifying Third Round,,,,,,,,,,,
2021,10/7/21,Jamaica,World Cup Qualifying Third Round,,,,,,,,,,,
2021,10/10/21,Panama,World Cup Qualifying Third Round,,,,,,,,,,,
2021,10/13/21,Costa Rica,World Cup Qualifying Third Round,,,,,,,,,,,
2021,11/12/21,Mexico,World Cup Qualifying Third Round,,,,,,,,,,,
2021,11/16/21,Jamaica,World Cup Qualifying Third Round,,,,,,,,,,,
2022,1/27/22,El Salvador,World Cup Qualifying Third Round,,,,,,,,,,,
2022,1/30/22,Canada,World Cup Qualifying Third Round,,,,,,,,,,,
2022,2/2/22,Honduras,World Cup Qualifying Third Round,,,,,,,,,,,
2022,3/24/22,Mexico,World Cup Qualifying Third Round,,,,,,,,,,,
2022,3/27/22,Panama,World Cup Qualifying Third Round,,,,,,,,,,,
2022,3/30/22,Costa Rica,World Cup Qualifying Third Round,,,,,,,,,,,
2022,6/10/22,Grenada,Nations League League A,,,,,,,,,,,
2022,6/14/22,El Salvador,Nations League League A,,,,,,,,,,,
2022,11/21/22,Wales,World Cup Group Stage,,,,,,,,,,,
2022,11/25/22,England,World Cup Group Stage,,,,,,,,,,,
