View,Date,Competition,Match
Rivals,2013-08-30,Super Cup,Chelsea at Bayern Munich
Rivals,2013-10-22,Champions League Group Stage,Arsenal vs Borussia Dortmund
Rivals,2013-12-17,League Cup Quarterfinals,Chelsea at Sunderland
Rivals,2014-02-19,Champions League Round of 16,Arsenal vs Bayern Munich
Rivals,2014-03-11,Champions League Round of 16,Arsenal at Bayern Munich
Rivals,2014-04-02,Champions League Quarterfinals,Chelsea at PSG
Rivals,2014-09-23,League Cup Third Round,Arsenal vs Southampton
Rivals,2014-11-05,Champions League Group Stage,Chelsea at NK Maribor
Rivals,2015-01-20,League Cup Semifinals,Chelsea at Liverpool
Rivals,2015-01-24,FA Cup Fourth Round,Chelsea vs Bradford City
Rivals,2015-02-17,Champions League Round of 16,Chelsea at PSG
Rivals,2015-02-25,Champions League Round of 16,Arsenal vs AS Monaco
Rivals,2015-03-11,Champions League Round of 16,Chelsea vs PSG
Rivals,2015-09-29,Champions League Group Stage,Arsenal vs Olympiacos
Rivals,2015-09-29,Champions League Group Stage,Chelsea at FC Porto
Rivals,2015-10-27,League Cup Fourth Round,Arsenal at Sheffield Wednesday
Rivals,2015-10-27,League Cup Fourth Round,Chelsea at Stoke City
Rivals,2015-11-04,Champions League Group Stage,Arsenal at Bayern Munich
Rivals,2016-02-23,Champions League Round of 16,Arsenal vs Barcelona
Rivals,2016-03-09,Champions League Round of 16,Chelsea vs PSG
Rivals,2016-10-26,League Cup Fourth Round,Chelsea at West Ham United
Rivals,2016-11-30,League Cup Fifth Round,Arsenal vs Southampton
Rivals,2017-02-15,Champions League Round of 16,Arsenal at Bayern Munich
Rivals,2017-03-07,Champions League Round of 16,Arsenal vs Bayern Munich
Rivals,2017-05-27,FA Cup Final,Chelsea at Arsenal
Rivals,2017-10-31,Champions League Group Stage,Chelsea at AS Roma
Rivals,2018-12-13,Europa League Group Stage,Chelsea at Fehérvár
Rivals,2019-02-14,Europa League Round of 32,Arsenal at BATE Borisov
Rivals,2019-03-07,Europa League Round of 16,Arsenal at Rennes
Rivals,2019-05-02,Europa League Semifinals,Chelsea at Eintracht Frankfurt
Rivals,2019-11-05,Champions League Group Stage,Chelsea vs Ajax
Rivals,2019-11-27,Champions League Group Stage,Chelsea at Valencia
Rivals,2020-02-25,Champions League Round of 16,Chelsea vs Bayern Munich
Rivals,2020-02-27,Europa League Round of 32,Arsenal vs Olympiacos
Rivals,2020-08-08,Champions League Round of 16,Chelsea at Bayern Munich
Rivals,2020-10-20,Champions League Group Stage,Chelsea vs Sevilla
Rivals,2020-12-08,Champions League Group Stage,Chelsea vs Krasnodar
Rivals,2021-03-18,Europa League Round of 16,Arsenal vs Olympiacos
Rivals,2021-12-08,Champions League Group Stage,Chelsea at Zenit St Petersburg
Rivals,2022-09-14,Champions League Group Stage,Chelsea vs RB Salzburg
Rivals,2022-10-27,Europa League Group Stage,Arsenal at PSV Eindhoven
Rivals,2022-11-09,League Cup Third Round,Arsenal vs Brighton
Rivals,2023-12-12,Champions League Group Stage,Arsenal at PSV Eindhoven
Rivals,2024-04-09,Champions League Quarterfinals,Arsenal vs Bayern Munich
Rivals,2024-04-17,Champions League Quarterfinals,Arsenal at Bayern Munich
Rivals,2024-08-29,Conference League Playoff Round,Chelsea at Servette
Rivals,2025-04-17,Conference League Quarterfinals,Chelsea vs Legia Warsaw
TV Windows,2015-09-20,MW 6 Sky Super Sunday,Liverpool v Norwich City
Tottenham,2013-08-22,Europa League Playoff Round,at Dinamo Tbilisi
Tottenham,2013-09-24,League Cup Third Round,at Aston Villa
Tottenham,2013-10-30,League Cup Fourth Round,Hull City
Tottenham,2013-11-07,Europa League Group Stage,Sheriff Tiraspol
Tottenham,2013-12-18,League Cup Quarterfinals,West Ham United
Tottenham,2014-01-04,FA Cup Third Round,at Arsenal
Tottenham,2014-08-21,Europa League Playoff Round,at AEL Limassol
Tottenham,2014-08-28,Europa League Playoff Round,AEL Limassol
Tottenham,2014-09-18,Europa League Group Stage,at Partizan
Tottenham,2014-09-24,League Cup Third Round,Nottingham Forest
Tottenham,2014-10-29,League Cup Fourth Round,Brighton
Tottenham,2014-12-17,League Cup Quarterfinals,Newcastle United
Tottenham,2015-01-05,FA Cup Third Round,at Burnley
Tottenham,2015-01-14,FA Cup Third Round Replay,Burnley
Tottenham,2015-01-21,League Cup Semifinals,Sheffield United
Tottenham,2015-01-24,FA Cup Fourth Round,Leicester City
Tottenham,2015-01-28,League Cup Semifinals,at Sheffield United
Tottenham,2015-02-19,Europa League Round of 32,Fiorentina
Tottenham,2015-03-01,League Cup Final,vs Chelsea
Tottenham,2015-09-17,Europa League Group Stage,Qarabag
Tottenham,2015-09-23,League Cup Third Round,Arsenal
Tottenham,2015-11-26,Europa League Group Stage,at Qarabag
Tottenham,2015-12-10,Europa League Group Stage,AS Monaco
Tottenham,2016-02-21,FA Cup Fifth Round,Crystal Palace
Tottenham,2016-09-21,League Cup Third Round,Gillingham
Tottenham,2016-09-27,Champions League Group Stage,at CSKA Moscow
Tottenham,2016-10-25,League Cup Fourth Round,at Liverpool
Tottenham,2016-11-22,Champions League Group Stage,at AS Monaco
Tottenham,2016-12-07,Champions League Group Stage,CSKA Moscow
Tottenham,2017-01-28,FA Cup Fourth Round,Wycombe Wanderers
Tottenham,2017-02-16,Europa League Round of 32,at Gent
Tottenham,2017-02-23,Europa League Round of 32,Gent
Tottenham,2017-04-22,FA Cup Semifinals,vs Chelsea
Tottenham,2017-09-19,League Cup Third Round,Barnsley
Tottenham,2018-01-07,FA Cup Third Round,AFC Wimbledon
